ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
120,Downward,TRUE,0.816485107,204.5813921,204.6253921,0.044,67.21115538,61.48406375,71.44422311,9.960159363,3.183190744,-226.1634582,1.332804604,-82.60543209,0.745403281,71.44422311
121,Upward,TRUE,1,204.769766,204.778398,0.008632,93.39832613,77.58507312,96.41037432,18.8253012,6.817747921,-338.3366388,3.093489635,-93.79761492,0.573842857,95.65736227
122,Complex,TRUE,0.737380087,204.9370498,204.9675578,0.030508,70.36931818,68.00189394,72.73674242,4.734848485,1.610152588,-109.4411914,1.487274357,-82.22435128,0.762471991,69.89583333
123,Complex,TRUE,0.732160628,205.7303146,205.7654146,0.0351,72.09347345,68.77488938,74.30586283,5.530973451,1.140325375,-19.31286331,1.230232568,-75.25907253,0.818150936,72.6465708
124,Complex,TRUE,0.746154785,206.0701499,206.1069499,0.0368,70.63988095,67.93425325,73.34550866,5.411255411,1.841456482,-135.6707727,1.284618723,-75.06186991,0.804914025,72.80438312
125,Upward,TRUE,0.662854731,206.2690303,206.2755583,0.006528,67.89917883,62.42472628,73.37363139,10.94890511,3.022588508,1317.817273,1.510029431,-105.6489909,0.369696701,70.63640511
126,2Syllabes,TRUE,1,206.4186403,206.4299803,0.01134,63.46788132,56.39240962,102.3829757,45.99056604,14.60309512,-564.004247,3.451359281,-101.6197164,0.340461319,65.82637189
127,2Syllabes,TRUE,0.540830374,207.1021331,207.1188771,0.016744,75.43478261,57.0923913,97.85326087,40.76086957,17.12391353,69.06449875,1.970386569,-106.5270497,0.274409924,67.96195652
128,Complex,TRUE,0.744705081,207.2663069,207.2891069,0.0228,70.89005236,66.96335079,76.78010471,9.816753927,2.041321771,206.2518333,1.443286853,-83.17834064,0.783194643,73.5078534
129,Upward,TRUE,0.729022503,207.4490931,207.4726251,0.023532,68.203125,59.21875,74.84375,15.625,4.693605799,164.5344673,2.162816054,-89.6913734,0.663022623,74.0625
130,Complex,TRUE,0.692501307,207.6441625,207.6584505,0.014288,70.67154255,68.6768617,72.00132979,3.324468085,0.951982783,52.51819283,1.261231724,-82.75220335,0.738217466,71.33643617
131,Complex,TRUE,0.671992481,207.8072443,207.8427403,0.035496,72.32638889,64.15645425,103.3721405,39.21568627,6.821460877,-35.96814794,3.232722853,-83.83852243,0.709524299,69.8754085
132,Upward,TRUE,0.58936584,208.0018137,208.0146657,0.012852,87.99107143,84.74431818,93.67288961,8.928571429,3.443701856,-147.079641,1.871146279,-105.4943544,0.393301251,86.36769481
133,2Syllabes,TRUE,0.733591497,208.1870709,208.2447429,0.057672,61.40886872,40.45914804,85.15188547,44.69273743,10.73055334,-141.8653246,3.062266193,-91.7369825,0.488399051,64.2021648
134,2Syllabes,TRUE,0.841319382,208.383294,208.444222,0.060928,63.62887597,49.09399225,71.38081395,22.28682171,5.953223577,-324.1764945,1.101364152,-80.27517133,0.747513322,67.50484496
